업소명,소재지주소,영업상태명,지정일자,지정취소일자,재지정일자
금해 복집,서울특별시 종로구 구기동 67-19 ,영업,20071120,,20231129.0
원할머니보쌈 종로5가점,서울특별시 종로구 종로5가 89-2번지 ,영업,20071120,,20111125.0
된장예술과 술,서울특별시 종로구 명륜4가 103-8 ,영업,20071120,,20231129.0
의정부부대찌개 앤 돈까스,서울특별시 종로구 견지동 110-44 (지상2층) ,영업,20121127,,20231129.0
예원,서울특별시 종로구 필운동 283-3 ,영업,20091028,20121127.0,20111125.0
인사동여자만,서울특별시 종로구 관훈동 88-1번지 ,영업,20121127,,20161205.0
들풀식당,서울특별시 종로구 청운동 69 ,영업,20071120,,20231129.0
감촌,서울특별시 종로구 종로1가 24 ,영업,20071120,,20231129.0
쭈꾸미엄나무닭한마리,서울특별시 종로구 청진동 181-6번지 ,영업,20071120,,
송전,서울특별시 종로구 서린동 136 ,영업,20071120,,20231129.0
더레스토랑,서울특별시 종로구 소격동 48 ,영업,20071120,,20231129.0
두레유,서울특별시 종로구 평창동 97 ,영업,20081006,20231129.0,20221229.0
정선곤드레쌈밥,"서울특별시 종로구 평창동 66-72 집합건물 101호, 102호, 103호 ",영업,20150915,,20231129.0
향나무세구루,서울특별시 종로구 삼청동 62-18 ,영업,20101122,,20231129.0
주식회사 희스토리푸드(순대실록),서울특별시 종로구 동숭동 1-41번지 ,영업,20071120,,20111125.0
양심(羊心),서울특별시 종로구 관훈동 29 ,영업,20161205,20231129.0,20211230.0
블랙카우,서울특별시 종로구 종로3가 124번지 ,영업,20081006,,20111125.0
홍화,"서울특별시 종로구 종로2가 8-4번지 외 1필지 1층 4,5호",영업,20091028,,20111125.0
신라제면,서울특별시 종로구 재동 84-1 ,영업,20071120,,20231129.0
프리모바치오바치,서울특별시 종로구 동숭동 1-60번지 ,영업,20071120,,20111125.0
대평갈비,"서울특별시 종로구 평창동 153-1 지상2,3층 ",영업,20091028,,20231129.0
고궁의아침,서울특별시 종로구 원남동 117-1번지 ,영업,20101122,,20161205.0
배수사,서울특별시 종로구 낙원동 8 ,영업,20081006,20191231.0,20161205.0
김진목삼,서울특별시 종로구 필운동 164 ,영업,20071120,20191231.0,20161205.0
왕비집 종로점,서울특별시 종로구 관철동 12-11 지상2층~4층 ,영업,20121127,,20231129.0
서촌 봉평막국수,서울특별시 종로구 필운동 193 ,영업,20141230,20191231.0,20161205.0
종로백부장집  닭한마리,서울특별시 종로구 청진동 3-1 ,영업,20161205,20240207.0,20231129.0
목란,서울특별시 종로구 평동 26-10 지상1층 ,영업,20071120,20091028.0,20080923.0
시민식당 2호점,서울특별시 종로구 인사동 98번지 ,영업,20170206,,
페르시아궁전,서울특별시 종로구 명륜2가 121-1 ,영업,20121127,,20231129.0
하누소,서울특별시 종로구 낙원동 272 ,영업,20081006,,20231129.0
통돼지 두루치기,서울특별시 종로구 종로5가 253-3번지 ,영업,20101122,,20111125.0
용금옥,서울특별시 종로구 통인동 118-5 ,영업,20091028,,20231129.0
수원성갈비,서울특별시 종로구 창신동 582-22번지 ,영업,20121127,,
본고향맛집,서울특별시 종로구 숭인동 317-20 1층 ,영업,20121127,,20231129.0
진고기명가,서울특별시 종로구 내자동 30 ,영업,20141230,,20231129.0
커피중공업,서울특별시 종로구 동숭동 130-17번지 ,영업,20161205,,
일품당샤브샤브,서울특별시 종로구 당주동 16-1 ,영업,20071120,,20231129.0
진고집 동해 동태탕,서울특별시 종로구 숭인동 313-8 ,영업,20071120,,20231129.0
내자살롱,서울특별시 종로구 내자동 184번지 ,영업,20091028,,20161205.0
복호포차,서울특별시 종로구 낙원동 121-1 ,영업,20071120,20231023.0,20221229.0
비엣콴(VIET QUAN),서울특별시 종로구 계동 102-1번지 ,영업,20101122,,20111125.0
고창선운사풍천장어금정,서울특별시 종로구 종로5가 31 ,영업,20071120,20231129.0,20221229.0
미재연,서울특별시 종로구 재동 110-1번지 ,영업,20091028,,
(주)이바돔 조선화로집 종각점,서울특별시 종로구 관철동 45-1번지 ,영업,20150915,,20170120.0
신라 갈비,서울특별시 종로구 종로5가 37 ,영업,20091028,20161205.0,20111125.0
흑궁 흑염소 광화문점,"서울특별시 종로구 내수동 74 광화문시대 지하1층 103, 104호 ",영업,20150915,,20231129.0
눈나무집,서울특별시 종로구 삼청동 20-8 ,영업,20071120,,20231129.0
부산돼지국밥,서울특별시 종로구 수송동 58 ,영업,20071120,20161205.0,20111125.0
상황삼계탕,서울특별시 종로구 관훈동 198-1번지 ,영업,20071120,,20161205.0
명동보리밥과 코다리,"서울특별시 종로구 관훈동 23 지하1,2층 ",영업,20071120,20160909.0,20111125.0
세종관,서울특별시 종로구 청진동 201-1번지 ,영업,20091028,,20111125.0
구기동 면옥,서울특별시 종로구 신영동 254 대아파크빌 201~202호 ,영업,20071120,20100810.0,20091028.0
금수저,"서울특별시 종로구 경운동 89-4번지 1층 (102동 108호,107-1호) ",영업,20121127,,
해목 서촌,서울특별시 종로구 통의동 72 ,영업,20081006,20231229.0,20231129.0
아이와,서울특별시 종로구 서린동 88번지 ,영업,20101122,,20161205.0
스파게티가있는풍경,서울특별시 종로구 신문로1가 1-1 ,영업,20091028,,20231129.0
(주)베이징코야,서울특별시 종로구 수송동 110 지하1층 ,영업,20081006,,20231129.0
이대감 고깃집,서울특별시 종로구 관수동 20 ,영업,20191231,,20231129.0
본가왕뼈감자탕(종로송해길점),서울특별시 종로구 낙원동 146 ,영업,20111125,20231129.0,20211230.0
풍천손가네민물장어,서울특별시 종로구 창신동 148-1 1층 ,영업,20101122,,20231129.0
낙산냉면,서울특별시 종로구 창신동 81-8번지 ,영업,20111125,,20161205.0
들깨마을 맷돌순두부,서울특별시 종로구 동숭동 1-37번지 ,영업,20081006,,20161205.0
인사동 여자만,서울특별시 종로구 관훈동 84-11 ,영업,20081006,,20231129.0
송담 추어탕,서울특별시 종로구 통의동 38번지 ,영업,20081006,,20161205.0
담소 소사골 순대 · 육개장 종로5가역점,서울특별시 종로구 종로5가 65번지 ,영업,20111125,,
부산조방낙지,서울특별시 종로구 수송동 58번지 ,영업,20101122,,
엔차이,서울특별시 종로구 내수동 75 용비어천가 지층 B103호 ,영업,20191231,,20231129.0
이천영양돌솥밥,서울특별시 종로구 평창동 182-2 ,영업,20081006,20211216.0,20191231.0
한일옥,서울특별시 종로구 관수동 19 (지하1층~지상1층) ,영업,20091028,,20231129.0
채선당 동묘역점,서울특별시 종로구 숭인동 76 ,영업,20111125,,20231129.0
고인돌,서울특별시 종로구 인사동 220-29번지 1층 ,영업,20141230,,20161205.0
인도로가는길,"서울특별시 종로구 관훈동 198-30번지 198-34, 198-35, 198-36(지상2층) ",영업,20101122,,20111125.0
도화,서울특별시 종로구 적선동 80 적선현대 지하1층 6호 ,영업,20150915,20240119.0,20231129.0
허그(HUG),서울특별시 종로구 명륜4가 16-1 ,영업,20091028,20121127.0,20111125.0
풍원식당,서울특별시 종로구 숭인동 1247번지 (지상1층) ,영업,20150915,,20161205.0
대가곱창,서울특별시 종로구 명륜3가 1-1143 (지상1층) ,영업,20191231,,20231129.0
